name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
NBA 2K11,Action,2010,Take-Two Interactive,1.8,89,7.6,Visual Concepts,E,PS3,0
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.76,76,7.7,Traveller's Tales,E10+,Wii,10
The Urbz: Sims in the City,Simulation,2004,Electronic Arts,1.76,70,8.2,Maxis,T,PS2,13
Madden NFL 17,Sports,2016,Electronic Arts,1.75,82,4.9,EA,E,PS4,0
FIFA Soccer 08,Sports,2007,Electronic Arts,1.75,81,7.1,EA,E,PS3,0
Dance Dance Revolution X,Simulation,2008,Konami Digital Entertainment,1.75,55,6.2,Konami,E10+,PS2,10
Dragon's Dogma,Role-Playing,2012,Capcom,1.74,78,8.3,Capcom,M,PS3,17
SSX Tricky,Sports,2001,Electronic Arts,1.73,92,8.9,EA,E,PS2,0
Crash Bandicoot: The Huge Adventure,Platform,2002,Other,1.73,78,7.9,Vicarious Visions,E,GBA,0
The Crew,Racing,2014,Ubisoft,1.72,61,5.4,Ubisoft,T,PS4,13
NBA 2K15,Sports,2014,Take-Two Interactive,1.72,82,6.3,Visual Concepts,E,XOne,0
Madden NFL 2005,Sports,2004,Electronic Arts,1.72,91,7.6,EA,E,XB,0
Ace Combat 5: The Unsung War,Simulation,2004,Other,1.71,84,9.1,Namco,T,PS2,13
Need for Speed Underground,Racing,2003,Electronic Arts,1.71,83,8.7,EA,E,XB,0
NCAA Football 07,Sports,2006,Electronic Arts,1.7,87,8.6,EA,E,PS2,0
Resident Evil 4,Action,2005,Capcom,1.69,96,9.4,Capcom,M,GC,17
Need For Speed: Undercover,Racing,2008,Electronic Arts,1.68,64,5.9,EA,T,X360,13
The Sims: Superstar,Simulation,2003,Electronic Arts,1.68,79,8.2,Maxis,T,PC,13
Metroid Fusion,Action,2002,Nintendo,1.68,92,9.1,Nintendo,E,GBA,0
SSX 3,Sports,2003,Electronic Arts,1.67,93,9.1,EA,E,PS2,0
Madden NFL 2001,Sports,2000,Electronic Arts,1.67,90,6.8,EA,E,PS,0
NCAA Football 2004,Sports,2003,Electronic Arts,1.67,94,8.8,EA,E,PS2,0
Fight Night Round 3,Fighting,2006,Electronic Arts,1.67,83,7.9,EA,T,PS3,13
SSX,Sports,2000,Electronic Arts,1.66,93,8.3,EA,E,PS2,0
Shaun White Snowboarding: Road Trip,Sports,2008,Ubisoft,1.66,78,8.7,Ubisoft,E10+,Wii,10
NBA Ballers,Sports,2004,Midway Games,1.66,83,9.2,Midway,E,PS2,0
NBA Live 2003,Sports,2002,Electronic Arts,1.66,83,8.3,EA,E,PS2,0
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,1.66,79,7.2,TT Games,E10+,X360,10
Need for Speed Carbon,Racing,2006,Electronic Arts,1.65,77,6.3,EA,E10+,X360,10
MySims,Simulation,2007,Electronic Arts,1.65,68,7.2,EA,E,Wii,0
Army of Two,Shooter,2008,Electronic Arts,1.64,72,7.6,EA,M,X360,17
Tiger Woods PGA Tour 2003,Sports,2002,Electronic Arts,1.64,88,8.9,EA,E,PS2,0
Prince of Persia: Warrior Within,Action,2004,Ubisoft,1.64,83,8.5,Ubisoft,M,PS2,17
