name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
Tom Clancy's Rainbow Six 3: Black Arrow,Shooter,2004,Ubisoft,1.13,84,8.6,Ubisoft,M,XB,17
Mirror's Edge,Platform,2008,Electronic Arts,1.13,79,7.8,EA,T,PS3,13
Guitar Hero 5,Misc,2009,Activision,1.13,85,6.8,Neversoft Entertainment,T,X360,13
The Legend of Zelda: Tri Force Heroes,Action,2015,Nintendo,1.12,73,7.6,Nintendo,E,3DS,0
Rabbids Go Home,Platform,2009,Ubisoft,1.12,78,8.3,Ubisoft,E10+,Wii,10
Rocksmith,Misc,2011,Ubisoft,1.12,80,8.3,Ubisoft,T,PS3,13
Rocksmith,Misc,2011,Ubisoft,1.12,77,8.2,Ubisoft,T,X360,13
Fight Night Champion,Fighting,2011,Electronic Arts,1.11,84,7.3,EA,M,PS3,17
Tom Clancy's Splinter Cell: Chaos Theory,Action,2005,Ubisoft,1.11,94,9,Ubisoft,M,XB,17
Pikmin 3,Strategy,2013,Nintendo,1.11,87,8.7,Nintendo,E10+,WiiU,10
WWE 2K14,Sports,2013,Take-Two Interactive,1.11,75,7.7,Yuke's,T,X360,13
Tales of Symphonia,Role-Playing,2003,Nintendo,1.1,86,8.5,Namco,T,GC,13
LEGO City Undercover,Platform,2013,Nintendo,1.1,80,8.2,TT Games,E10+,WiiU,10
Need for Speed: ProStreet,Racing,2007,Electronic Arts,1.1,61,6.9,EA,E10+,Wii,10
GRID,Racing,2008,Codemasters,1.1,87,8.1,Codemasters,E,PS3,0
Medal of Honor: Airborne,Shooter,2007,Electronic Arts,1.1,73,6.7,EA,T,X360,13
NCAA Football 14,Sports,2013,Electronic Arts,1.09,77,5.8,EA,E,X360,0
Guitar Hero 5,Misc,2009,Activision,1.09,86,5.7,Neversoft Entertainment,T,PS3,13
NERF N-Strike,Shooter,2008,Electronic Arts,1.09,66,4.4,EA,E10+,Wii,10
Madden NFL 2004,Sports,2003,Electronic Arts,1.09,92,8.3,EA,E,XB,0
The Godfather,Action,2006,Electronic Arts,1.09,75,8.3,EA,M,PS2,17
WWE SmackDown vs. Raw 2011,Fighting,2010,Other,1.09,74,6.9,Yuke's,T,PS3,13
NCAA Football 13,Action,2012,Electronic Arts,1.09,76,5.5,EA,E,X360,0
Skate 2,Sports,2009,Electronic Arts,1.09,84,8,EA,T,X360,13
NASCAR Thunder 2004,Racing,2003,Electronic Arts,1.08,88,8.9,EA,E,PS2,0
Tom Clancy's Ghost Recon 2,Shooter,2004,Ubisoft,1.08,58,6,Ubisoft,T,PS2,13
Star Fox: Assault,Shooter,2005,Nintendo,1.08,67,8.1,Namco,T,GC,13
FIFA Soccer 11,Sports,2010,Electronic Arts,1.07,73,7.3,EA,E,Wii,0
Prince of Persia,Action,2008,Ubisoft,1.07,85,7.3,Ubisoft,T,PS3,13
Pro Evolution Soccer 2008,Sports,2007,Konami Digital Entertainment,1.07,76,7.8,Konami,E,X360,0
SoulCalibur III,Fighting,2005,Other,1.07,86,8.4,Namco,T,PS2,13
Tiger Woods PGA Tour 10,Sports,2009,Electronic Arts,1.07,88,8.8,EA,E,Wii,0
Mortal Kombat: Armageddon,Fighting,2006,Midway Games,1.06,75,8.5,Midway,M,PS2,17
The Orange Box,Shooter,2007,Electronic Arts,1.06,89,8.4,EA,M,PS3,17
NBA Street V3,Sports,2005,Electronic Arts,1.06,89,8.7,EA,E,PS2,0
DiRT 3,Racing,2011,Codemasters,1.06,87,7.1,Codemasters,T,PS3,13
DiRT,Racing,2007,Codemasters,1.05,83,8,Codemasters,E,PS3,0
NBA 2K3,Sports,2002,Other,1.05,89,8,Visual Concepts,E,PS2,0
LEGO The Lord of the Rings,Action,2012,Warner Bros. Interactive Entertainment,1.05,82,8.3,TT Games,E10+,PS3,10
EA Sports UFC,Sports,2014,Electronic Arts,1.05,70,6.1,EA,T,PS4,13
MVP Baseball 2003,Sports,2003,Electronic Arts,1.04,81,8.9,EA,E,PS2,0
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,1.04,80,8.4,Yuke's,T,X360,13
Dance Dance Revolution SuperNOVA,Simulation,2006,Konami Digital Entertainment,1.04,73,8.7,Konami,E10+,PS2,10
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,1.04,83,8.8,EA,T,XB,13
The Simpsons Game,Action,2007,Electronic Arts,1.03,71,7.7,EA,T,X360,13
F1 2012,Racing,2012,Codemasters,1.03,81,7.5,Codemasters,E,PS3,0
UFC Undisputed 3,Action,2012,Other,1.03,86,7.4,Yuke's,T,PS3,13
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,1.03,73,7,Traveller's Tales,E10+,X360,10
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter,2007,Ubisoft,1.03,84,8.1,Ubisoft,T,PS3,13
LEGO Indiana Jones: The Original Adventures,Action,2008,Activision,1.03,77,7.7,Traveller's Tales,E10+,PS3,10
Street Fighter Alpha 3,Fighting,1998,Other,1.03,93,8.5,Capcom,T,PS,13
MySims Agents,Adventure,2009,Electronic Arts,1.03,78,8.6,EA,E,Wii,0
FIFA Soccer 08,Sports,2007,Electronic Arts,1.02,65,6.1,EA,E,Wii,0
Tiger Woods PGA Tour 08,Sports,2007,Electronic Arts,1.02,72,7,EA,E,Wii,0
NBA 2K17,Sports,2016,Take-Two Interactive,1.02,90,6.2,Visual Concepts,E,XOne,0
Tom Clancy's Ghost Recon Advanced Warfighter 2,Shooter,2007,Ubisoft,1.02,86,8.1,Ubisoft,T,X360,13
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,1.02,71,7.4,Traveller's Tales,E10+,X360,10
Skylanders SWAP Force,Platform,2013,Activision,1.02,83,5.3,Vicarious Visions,E10+,PS3,10
Madden NFL 07,Sports,2006,Electronic Arts,1.02,83,8.7,EA,E,XB,0
Harry Potter and the Prisoner of Azkaban,Action,2004,Electronic Arts,1.02,70,8.7,EA,E,PS2,0
Assassin's Creed: Rogue,Action,2014,Ubisoft,1.01,72,7.3,Ubisoft,M,X360,17
Rayman Legends,Platform,2014,Ubisoft,1.01,90,8.5,Ubisoft,E10+,PS4,10
Prince of Persia,Action,2008,Ubisoft,1.01,81,7,Ubisoft,T,X360,13
ZombiU,Action,2012,Ubisoft,1.01,77,7.7,Ubisoft,M,WiiU,17
NERF N-Strike Elite,Shooter,2009,Electronic Arts,1,67,4.5,EA,E10+,Wii,10
SoulCalibur II,Fighting,2003,Other,1,92,8.9,Namco,T,XB,13
Dynasty Warriors 3: Xtreme Legends,Action,2002,Tecmo Koei,1,72,9.3,Omega Force,T,PS2,13
Just Dance 2014,Misc,2013,Ubisoft,0.99,79,7.8,Ubisoft,E10+,X360,10
NCAA Football 12,Sports,2011,Electronic Arts,0.99,82,6.6,EA,E,X360,0
UFC Undisputed 3,Action,2012,Other,0.99,85,7.6,Yuke's,T,X360,13
DiRT 2,Racing,2009,Codemasters,0.99,87,8.2,Codemasters,T,PS3,13
Guitar Hero: Aerosmith,Misc,2008,Activision,0.99,70,5,Neversoft Entertainment,T,PS3,13
Apollo Justice: Ace Attorney,Adventure,2007,Capcom,0.99,78,8.1,Capcom,T,DS,13
Pro Evolution Soccer 2008,Sports,2008,Konami Digital Entertainment,0.98,80,6.8,Konami,E,PSP,0
FIFA Soccer 10,Sports,2009,Electronic Arts,0.98,75,6.2,EA,E,Wii,0
WWE SmackDown vs Raw 2008,Fighting,2007,Other,0.98,59,5.9,Yuke's,T,Wii,13
Tom Clancy's Splinter Cell: Blacklist,Action,2013,Ubisoft,0.98,82,7.5,Ubisoft,M,X360,17
NBA 2K10,Sports,2009,Take-Two Interactive,0.97,82,7.6,Visual Concepts,E,X360,0
NCAA Football 06,Sports,2005,Electronic Arts,0.97,87,8.3,EA,E,XB,0
Madden NFL 08,Sports,2007,Electronic Arts,0.97,81,5.3,EA,E,PS3,0
NHL 2004,Sports,2003,Electronic Arts,0.97,85,7.6,EA,E,PS2,0
FIFA Soccer 2005,Sports,2004,Electronic Arts,0.97,81,8.7,EA,E,XB,0
Band Hero,Misc,2009,Activision,0.97,79,6.6,Vicarious Visions,E10+,Wii,10
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,0.97,84,9.1,Traveller's Tales,E10+,GC,10
Far Cry 3,Shooter,2012,Ubisoft,0.96,88,8.2,Ubisoft,M,PC,17
NHL 2001,Sports,2000,Electronic Arts,0.96,85,8.1,EA,E,PS2,0
Mortal Kombat: Deadly Alliance,Fighting,2002,Midway Games,0.96,81,8.4,Midway,M,XB,17
ESPN NBA 2K5,Sports,2004,Other,0.95,85,8.7,Visual Concepts,E,XB,0
My Weight Loss Coach,Sports,2008,Ubisoft,0.95,63,7.6,Ubisoft,E,DS,0
Tom Clancy's Splinter Cell: Chaos Theory,Action,2005,Ubisoft,0.95,87,8.6,Ubisoft,M,PS2,17
Pro Evolution Soccer 2014,Action,2013,Konami Digital Entertainment,0.95,78,4.1,Konami,E,PS3,0
Tom Clancy's Ghost Recon: Future Soldier,Shooter,2012,Ubisoft,0.95,79,6.9,Ubisoft,M,PS3,17
Driver: San Francisco,Racing,2011,Ubisoft,0.95,79,7.7,Ubisoft,T,PS3,13
Army of Two: The 40th Day,Shooter,2010,Electronic Arts,0.95,73,7.3,EA,M,X360,17
Lost Planet 2,Shooter,2010,Capcom,0.95,68,6.9,Capcom,T,PS3,13
LEGO Pirates of the Caribbean: The Video Game,Action,2011,Other,0.95,73,7.1,Traveller's Tales,E10+,PS3,10
Star Fox 64 3D,Shooter,2011,Nintendo,0.94,81,8.2,Nintendo,E10+,3DS,10
Tom Clancy's Splinter Cell: Blacklist,Action,2013,Ubisoft,0.94,84,7.7,Ubisoft,M,PS3,17
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.94,78,7,Yuke's,T,PS3,13
NCAA Football 10,Sports,2009,Electronic Arts,0.94,83,6.7,EA,E,X360,0
Prince of Persia: The Sands of Time,Action,2003,Ubisoft,0.94,92,7.8,Ubisoft,T,XB,13
MLB 06: The Show,Sports,2006,Sony Computer Entertainment,0.94,83,8.9,EA,E,PS2,0
NHL 2003,Sports,2002,Electronic Arts,0.93,79,6.8,EA,E,PS2,0
EA Sports UFC 2,Sports,2016,Electronic Arts,0.93,79,6.2,EA,T,PS4,13
Tony Hawk's Pro Skater 4,Sports,2002,Activision,0.93,90,8.5,Neversoft Entertainment,T,XB,13
Guitar Hero: Metallica,Misc,2009,Activision,0.93,85,8.6,Neversoft Entertainment,T,Wii,13
Teenage Mutant Ninja Turtles,Action,2003,Other,0.93,71,8.8,Konami,E,GBA,0
MLB 07: The Show,Sports,2007,Sony Computer Entertainment,0.93,83,8.6,EA,E,PS2,0
Operation Flashpoint: Dragon Rising,Shooter,2009,Codemasters,0.93,77,7.8,Codemasters,M,X360,17
Lego Batman 3: Beyond Gotham,Action,2014,Warner Bros. Interactive Entertainment,0.93,73,7.1,TT Games,E10+,PS4,10
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,0.93,80,6.8,TT Games,E10+,PS3,10
Assassin's Creed III,Action,2012,Ubisoft,0.93,80,6.2,Ubisoft,M,PC,17
NCAA Football 11,Sports,2010,Electronic Arts,0.92,86,7.1,EA,E,X360,0
Phoenix Wright: Ace Attorney,Adventure,2005,Capcom,0.92,81,9.2,Capcom,T,DS,13
MLB 15: The Show,Sports,2015,Sony Computer Entertainment,0.92,80,7.8,EA,E,PS4,0
MLB 12: The Show,Sports,2012,Sony Computer Entertainment,0.92,87,7.5,EA,E,PS3,0
Wii Play: Motion,Misc,2011,Nintendo,0.92,60,6.1,Nintendo,E10+,Wii,10
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.92,79,7.1,Yuke's,T,X360,13
EA Sports Active 2,Sports,2010,Electronic Arts,0.91,78,5.4,EA,E,PS3,0
Knockout Kings 2002,Sports,2002,Electronic Arts,0.91,76,8.1,EA,T,PS2,13
Tom Clancy's EndWar,Strategy,2008,Ubisoft,0.91,77,7.2,Ubisoft,T,X360,13
Colin McRae Rally 2.0,Racing,2000,Codemasters,0.91,90,8.7,Codemasters,E,PS,0
Dynasty Warriors 7,Action,2011,Tecmo Koei,0.91,57,7.4,Omega Force,T,PS3,13
NBA 2K14,Sports,2013,Take-Two Interactive,0.91,86,5.7,Visual Concepts,E,XOne,0
SSX,Sports,2012,Electronic Arts,0.91,81,6.8,EA,E,PS3,0
Operation Flashpoint: Dragon Rising,Shooter,2009,Codemasters,0.91,76,6.5,Codemasters,M,PS3,17
Tiger Woods PGA Tour 2002,Sports,2002,Electronic Arts,0.9,80,7.6,EA,E,PS2,0
Street Fighter V,Fighting,2016,Capcom,0.9,77,3.4,Capcom,T,PS4,13
Marvel: Ultimate Alliance 2,Role-Playing,2009,Activision,0.9,73,7.3,Vicarious Visions,T,X360,13
LEGO Jurassic World,Action,2015,Warner Bros. Interactive Entertainment,0.9,70,7,TT Games,E10+,PS4,10
Madden NFL 25,Sports,2013,Electronic Arts,0.9,74,5.2,EA,E,PS4,0
Spider-Man 3,Platform,2007,Activision,0.9,50,6.5,Vicarious Visions,T,PS2,13
James Bond 007: Agent Under Fire,Shooter,2002,Electronic Arts,0.9,71,7.5,EA,T,XB,13
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,0.9,61,5.2,TT Games,E10+,3DS,10
NBA Live 2005,Sports,2004,Electronic Arts,0.9,85,7.6,EA,E,XB,0
Blitz: The League,Sports,2005,Other,0.89,76,8,Midway,M,PS2,17
Tiger Woods PGA Tour 06,Sports,2005,Electronic Arts,0.89,83,6.2,EA,E,PS2,0
FIFA Street,Sports,2012,Electronic Arts,0.89,77,6.7,EA,E,X360,0
Classic NES Series: The Legend of Zelda,Adventure,2004,Nintendo,0.89,84,8.6,Nintendo,E,GBA,0
Finding Nemo,Action,2003,Other,0.89,62,5.5,Traveller's Tales,E,GC,0
Ace Combat 2,Simulation,1997,Sony Computer Entertainment,0.89,83,8.2,Namco,T,PS,13
NFL 2K2,Sports,2001,Other,0.89,85,7.5,Visual Concepts,E,PS2,0
Tiger Woods PGA Tour 12: The Masters,Sports,2011,Electronic Arts,0.89,80,7.3,EA,E,PS3,0
FIFA Soccer 09 All-Play,Sports,2008,Electronic Arts,0.89,80,8.4,EA,E,Wii,0
LEGO Indiana Jones 2: The Adventure Continues,Action,2009,Activision,0.89,70,7.1,Traveller's Tales,E10+,PS3,10
NCAA Football 13,Action,2012,Electronic Arts,0.89,79,4.1,EA,E,PS3,0
The Simpsons Game,Action,2007,Electronic Arts,0.88,71,7.5,EA,T,PS3,13
NBA 2K6,Action,2005,Take-Two Interactive,0.88,84,8.3,Visual Concepts,E,PS2,0
Monster 4X4: World Circuit,Racing,2006,Ubisoft,0.88,51,7.8,Ubisoft,E,Wii,0
Far Cry: Primal,Action,2016,Ubisoft,0.88,77,6.4,Ubisoft,M,XOne,17
Resident Evil: Revelations,Action,2012,Capcom,0.88,82,8.5,Capcom,M,3DS,17
WWE SmackDown vs. Raw 2011,Fighting,2010,Other,0.88,75,7.6,Yuke's,T,X360,13
Madden NFL 08,Sports,2007,Electronic Arts,0.87,76,6.8,EA,E,Wii,0
Michael Jackson: The Experience,Misc,2011,Ubisoft,0.87,63,6.8,Ubisoft,E10+,X360,10
GRID,Racing,2008,Codemasters,0.87,87,7.9,Codemasters,E,X360,0
DiRT,Racing,2007,Codemasters,0.87,83,7.4,Codemasters,E,X360,0
Fight Night Round 2,Fighting,2005,Electronic Arts,0.87,88,9,EA,T,PS2,13
Warriors Orochi,Action,2007,Tecmo Koei,0.87,55,8.2,Omega Force,T,PS2,13
Guitar Hero: Warriors of Rock,Misc,2010,Activision,0.86,72,6.5,Neversoft Entertainment,T,X360,13
Dynasty Warriors 4: Xtreme Legends,Action,2003,Tecmo Koei,0.86,72,9.1,Omega Force,T,PS2,13
2010 FIFA World Cup South Africa,Sports,2010,Electronic Arts,0.85,83,8.1,EA,E,X360,0
NBA 2K8,Sports,2007,Take-Two Interactive,0.85,81,7,Visual Concepts,E,X360,0
Tiger Woods PGA Tour 2005,Sports,2004,Electronic Arts,0.85,88,8.9,EA,E,XB,0
Wii Fit U,Sports,2013,Nintendo,0.85,72,7.7,Nintendo,E,WiiU,0
NCAA Football 11,Sports,2010,Electronic Arts,0.85,85,7.4,EA,E,PS3,0
Army of Two: The 40th Day,Shooter,2010,Electronic Arts,0.85,74,7,EA,M,PS3,17
NBA 2K10,Sports,2009,Take-Two Interactive,0.84,83,7.8,Visual Concepts,E,PS3,0
Skate 2,Sports,2009,Electronic Arts,0.84,84,7.8,EA,T,PS3,13
ESPN College Hoops 2K5,Sports,2004,Other,0.84,86,8.1,Visual Concepts,E,PS2,0
NCAA Football 14,Sports,2013,Electronic Arts,0.84,77,6.2,EA,E,PS3,0
Metroid: Zero Mission,Adventure,2004,Nintendo,0.84,89,9,Nintendo,E,GBA,0
Blazing Angels: Squadrons of WWII,Simulation,2007,Ubisoft,0.83,57,6.7,Ubisoft,T,Wii,13
Madden NFL 09 All-Play,Sports,2008,Electronic Arts,0.83,82,7.2,EA,E,Wii,0
Dynasty Warriors 2,Action,2000,Other,0.83,75,8.8,Omega Force,T,PS2,13
NCAA Football 12,Sports,2011,Electronic Arts,0.83,82,5.8,EA,E,PS3,0
Tiger Woods PGA Tour 11,Sports,2010,Electronic Arts,0.83,78,6.7,EA,E,PS3,0
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.83,79,8.5,Yuke's,T,Wii,13
Need for Speed: Nitro,Racing,2009,Electronic Arts,0.83,69,7.4,EA,E10+,Wii,10
Street Fighter X Tekken,Fighting,2012,Capcom,0.83,84,5.3,Capcom,T,PS3,13
Tony Hawk's Pro Skater 3,Sports,2001,Activision,0.82,91,9,Neversoft Entertainment,T,GC,13
Need for Speed: Hot Pursuit 2,Racing,2002,Electronic Arts,0.82,75,6.4,EA,E,XB,0
Stranglehold,Shooter,2007,Midway Games,0.82,77,7.6,Midway,M,X360,17
Tales of Destiny II,Role-Playing,2000,Other,0.81,78,8.7,Namco,T,PS,13
The Legend of Zelda: Four Swords Adventures,Action,2004,Nintendo,0.81,86,7.2,Nintendo,E,GC,0
Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,0.81,78,7.6,Konami,E,X360,0
Tom Clancy's Rainbow Six 3,Shooter,2004,Ubisoft,0.81,70,8.2,Ubisoft,M,PS2,17
Madden NFL 25,Sports,2013,Electronic Arts,0.81,73,5.9,EA,E,XOne,0
NCAA Football 10,Sports,2009,Electronic Arts,0.81,80,6.9,EA,E,PS3,0
Guitar Hero: Warriors of Rock,Misc,2010,Activision,0.81,74,7.1,Neversoft Entertainment,T,PS3,13
The Sims 2,Simulation,2005,Electronic Arts,0.81,75,4.4,Maxis,T,PS2,13
DiRT 2,Racing,2009,Codemasters,0.8,87,8.2,Codemasters,T,X360,13
Prince of Persia: Warrior Within,Action,2004,Ubisoft,0.8,83,7.5,Ubisoft,M,XB,17
Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,0.8,72,4.6,Konami,E,PSP,0
Guitar Hero: Metallica,Misc,2009,Activision,0.8,84,8.1,Neversoft Entertainment,T,X360,13
Need for Speed: Hot Pursuit 2,Racing,2002,Electronic Arts,0.8,68,8.3,EA,E,GC,0
Rayman Raving Rabbids 2,Misc,2007,Ubisoft,0.8,57,7,Ubisoft,E10+,DS,10
The Sims 2: Pets,Simulation,2006,Electronic Arts,0.79,57,7.3,Maxis,T,PSP,13
pro evolution soccer 2011,Sports,2010,Konami Digital Entertainment,0.79,74,5.8,Konami,E,PSP,0
The Godfather II,Action,2009,Electronic Arts,0.79,65,6.9,EA,M,X360,17
Dragon's Dogma,Role-Playing,2012,Capcom,0.79,75,7.8,Capcom,M,X360,17
Pro Evolution Soccer 2016,Sports,2015,Konami Digital Entertainment,0.79,87,7.1,Konami,E,PS4,0
Band Hero,Misc,2009,Activision,0.79,76,5,Neversoft Entertainment,E10+,X360,10
NCAA Football 08,Sports,2007,Electronic Arts,0.79,83,8.3,EA,E,PS2,0
FIFA Soccer 2004,Sports,2003,Electronic Arts,0.79,82,8.2,EA,E,XB,0
The Sims 2: Castaway,Simulation,2007,Electronic Arts,0.79,64,7.3,Maxis,E10+,PSP,10
WWE 2K15,Sports,2014,Take-Two Interactive,0.78,55,3.1,Yuke's,T,PS3,13
Tiger Woods PGA Tour 10,Sports,2009,Electronic Arts,0.78,81,7.7,EA,E,PS3,0
Tom Clancy's Splinter Cell: Double Agent,Action,2006,Ubisoft,0.78,85,8.1,Ubisoft,M,X360,17
Fight Night Champion,Fighting,2011,Electronic Arts,0.78,86,7.4,EA,M,X360,17
Need for Speed: ProStreet,Racing,2008,Electronic Arts,0.77,57,7.1,EA,E,PSP,0
Marvel Nemesis: Rise of the Imperfects,Fighting,2005,Electronic Arts,0.77,53,6.3,EA,T,PS2,13
Maximo: Ghosts to Glory,Platform,2001,Capcom,0.77,84,8.7,Capcom,T,PS2,13
Metroid Prime Hunters,Shooter,2006,Nintendo,0.76,85,8,Nintendo,T,DS,13
The Sims 3,Simulation,2011,Electronic Arts,0.76,52,3.3,EA,T,3DS,13
Mortal Kombat: Deception,Fighting,2004,Midway Games,0.76,81,8.8,Midway,M,XB,17
That's So Raven,Adventure,2004,Other,0.76,39,7.6,Vicarious Visions,E,GBA,0
Harry Potter and the Half-Blood Prince,Action,2009,Electronic Arts,0.75,60,6,EA,E10+,Wii,10
Mega Man X5,Platform,2000,Capcom,0.75,76,8.9,Capcom,E,PS,0
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,0.75,72,6,Yuke's,T,PSP,13
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,0.75,72,5.2,TT Games,E10+,3DS,10
Pro Evolution Soccer 2015,Sports,2014,Konami Digital Entertainment,0.75,82,7.2,Konami,E,PS4,0
Tony Hawk's Underground 2,Sports,2004,Activision,0.75,83,7.8,Neversoft Entertainment,T,XB,13
Madden NFL 06,Sports,2005,Electronic Arts,0.75,75,7.9,EA,E,PSP,0
Raving Rabbids: Travel in Time,Adventure,2010,Ubisoft,0.75,62,7.6,Ubisoft,E10+,Wii,10
Capcom vs. SNK 2: Mark of the Millennium 2001,Fighting,2001,Capcom,0.75,81,7.9,Capcom,T,PS2,13
MVP 06 NCAA Baseball,Sports,2006,Electronic Arts,0.75,76,9,EA,E,PS2,0
Coded Arms,Shooter,2005,Konami Digital Entertainment,0.75,59,6.5,Konami,T,PSP,13
Band Hero,Misc,2009,Activision,0.74,76,5.7,Neversoft Entertainment,E10+,PS3,10
The Godfather II,Action,2009,Electronic Arts,0.74,67,7.2,EA,M,PS3,17
Need for Speed: Shift,Racing,2009,Electronic Arts,0.74,69,6.5,EA,E,PSP,0
Assassin's Creed: Revelations,Action,2011,Ubisoft,0.74,80,7.4,Ubisoft,M,PC,17
Resident Evil: Revelations,Action,2013,Capcom,0.74,74,7.2,Capcom,M,PS3,17
Tom Clancy's Rainbow Six: Vegas,Shooter,2007,Ubisoft,0.74,60,7.1,Ubisoft,T,PSP,13
MLB 13: The Show,Sports,2013,Sony Computer Entertainment,0.74,87,7.8,EA,E,PS3,0
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,0.74,82,8,TT Games,E10+,WiiU,10
Marvel: Ultimate Alliance 2,Role-Playing,2009,Activision,0.73,74,7.3,Vicarious Visions,T,PS3,13
Tiger Woods PGA Tour 08,Sports,2007,Electronic Arts,0.73,79,6.6,EA,E,PS3,0
Classic NES Series: Donkey Kong,Platform,2004,Nintendo,0.73,55,4.8,Nintendo,E,GBA,0
WWE SmackDown vs. Raw 2010,Fighting,2009,Other,0.73,78,7.7,Yuke's,T,Wii,13
NHL 11,Sports,2010,Electronic Arts,0.73,88,7.7,EA,E10+,X360,10
NCAA Football 07,Sports,2006,Electronic Arts,0.73,79,6.9,EA,E,X360,0
LEGO Marvel's Avengers,Action,2016,Warner Bros. Interactive Entertainment,0.73,71,7,TT Games,E10+,PS4,10
Katamari Damacy,Puzzle,2004,Other,0.73,86,9,Namco,E,PS2,0
Just Dance 2015,Misc,2014,Ubisoft,0.73,75,6.6,Ubisoft,E10+,WiiU,10
LEGO Dimensions,Action,2015,Warner Bros. Interactive Entertainment,0.73,80,7.1,Traveller's Tales,E10+,PS4,10
James Bond 007: Agent Under Fire,Shooter,2002,Electronic Arts,0.72,74,6.8,EA,T,GC,13
Star Wars Episode III: Revenge of the Sith,Action,2005,Ubisoft,0.72,73,7.5,Ubisoft,E10+,GBA,10
Monopoly Streets,Misc,2010,Electronic Arts,0.72,65,5.2,EA,E,Wii,0
NBA Live 08,Sports,2007,Electronic Arts,0.72,68,6.6,EA,E,PS2,0
Dead to Rights,Shooter,2002,Electronic Arts,0.72,73,8.9,Namco,M,XB,17
Tiger Woods PGA Tour 07,Sports,2006,Electronic Arts,0.72,79,6,EA,E,PS2,0
MLB 14: The Show,Sports,2014,Other,0.72,83,7.7,EA,E,PS4,0
Madden NFL 10,Sports,2009,Electronic Arts,0.72,77,7.2,EA,E,Wii,0
MLB 09: The Show,Sports,2009,Sony Computer Entertainment,0.72,90,8.1,EA,E,PS3,0
F1 2011,Racing,2011,Codemasters,0.72,84,7.1,Codemasters,E,X360,0
MLB 10: The Show,Sports,2010,Sony Computer Entertainment,0.72,91,8.3,EA,E,PS3,0
Battlefield: Bad Company 2,Shooter,2010,Electronic Arts,0.72,87,8.3,EA,M,PC,17
DiRT 3,Racing,2011,Codemasters,0.72,87,7.1,Codemasters,T,X360,13
Madden NFL 2003,Sports,2002,Electronic Arts,0.71,92,8.3,EA,E,XB,0
Skate,Sports,2007,Electronic Arts,0.71,86,8.4,EA,T,X360,13
Resident Evil: Survivor,Action,2000,Other,0.71,39,7,Capcom,M,PS,17
Madden NFL 08,Sports,2007,Electronic Arts,0.71,75,6.8,EA,E,PSP,0
Madden NFL 09,Sports,2008,Electronic Arts,0.71,68,6.5,EA,E,PSP,0
NBA Live 09,Sports,2008,Electronic Arts,0.71,77,7.4,EA,E,X360,0
NCAA Football 09,Sports,2008,Electronic Arts,0.71,83,7.7,EA,E,X360,0
SSX,Sports,2012,Electronic Arts,0.7,82,6.4,EA,E,X360,0
Tony Hawk's Underground,Sports,2003,Activision,0.7,89,8.5,Neversoft Entertainment,T,GC,13
Spider-Man 2,Action,2005,Activision,0.7,67,6.9,Vicarious Visions,T,PSP,13
NCAA Football 08,Sports,2007,Electronic Arts,0.7,81,7.8,EA,E,X360,0
Ace Attorney Investigations: Miles Edgeworth,Adventure,2009,Capcom,0.7,78,8.4,Capcom,T,DS,13
Kill.Switch,Shooter,2003,Sony Computer Entertainment,0.7,73,8.3,Namco,T,PS2,13
Lego Star Wars: The Force Awakens,Action,2016,Warner Bros. Interactive Entertainment,0.7,78,7.5,TT Games,E10+,PS4,10
NHL 12,Sports,2011,Electronic Arts,0.7,86,7,EA,E10+,X360,10
NASCAR 2001,Racing,2000,Electronic Arts,0.7,66,6.6,EA,E,PS2,0
Ape Escape: On the Loose,Platform,2005,Sony Computer Entertainment,0.7,66,6.4,EA,E,PSP,0
MLB 08: The Show,Sports,2008,Sony Computer Entertainment,0.7,85,8.7,EA,E,PS3,0
Driver: San Francisco,Racing,2011,Ubisoft,0.7,80,7.6,Ubisoft,T,X360,13
Classic NES Series: Zelda II: The Adventure of Link,Adventure,2004,Nintendo,0.7,73,7.5,Nintendo,E,GBA,0
MotionSports,Sports,2010,Ubisoft,0.69,40,4.4,Ubisoft,T,X360,13
Prince of Persia: The Forgotten Sands,Action,2010,Ubisoft,0.69,75,7.6,Ubisoft,T,PS3,13
Shark Tale,Action,2004,Activision,0.68,63,9,Vicarious Visions,E,GBA,0
